#
# National Water Information System
# 2013/12/18
#
#
# Date Retrieved: USGS Water Data for the Nation Help System
#
parm_cd	group	parm_nm	CASRN	SRSName	parm_unit
64955	Organics, Other	Benzo[a]pyrene, water, recoverable, nanograms per semipermeable membrane device	50-32-8	Benzo[a]pyrene	ng/SPMD
64956	Organics, Other	Benzo[b]fluoranthene, water, recoverable, nanograms per semipermeable membrane device	205-99-2	Benzo(b)fluoranthene	ng/SPMD
64957	Organics, Other	Benzo[c]cinnoline, water, recoverable, nanograms per semipermeable membrane device	230-17-1	Benzo[c]cinnoline	ng/SPMD
64958	Organics, Other	Benzo[ghi]perylene, water, recoverable, nanograms per semipermeable membrane device	191-24-2	Benzo[ghi]perylene	ng/SPMD
64959	Organics, Other	Benzo[k]fluoranthene, water, recoverable, nanograms per semipermeable membrane device	207-08-9	Benzo[k]fluoranthene	ng/SPMD
64960	Organics, Pesticide	beta-HCH, water, recoverable, nanograms per semipermeable membrane device	319-85-7	.beta.-Hexachlorocyclohexane	ng/SPMD
64961	Organics, Other	Bis(2-chloroethoxy)methane, water, recoverable, nanograms per semipermeable membrane device	111-91-1	Bis(2-chloroethoxy)methane	ng/SPMD
64962	Organics, Other	Bis(2-chloroethyl) ether, water, recoverable, nanograms per semipermeable membrane device	111-44-4	Bis(2-chloroethyl) ether	ng/SPMD
64963	Organics, Other	Bis(2-chloroisopropyl) ether, water, recoverable, nanograms per semipermeable membrane device	39638-32-9	Bis(2-chloroisopropyl) ether	ng/SPMD
64964	Organics, Other	Bis(2-ethylhexyl) phthalate, water, recoverable, nanograms per semipermeable membrane device	117-81-7	Di(2-ethylhexyl) phthalate	ng/SPMD
64965	Organics, Pesticide	Butylate, water, recoverable, nanograms per semipermeable membrane device	2008-41-5	Butylate	ng/SPMD
64966	Organics, Other	Benzyl n-butyl phthalate, water, recoverable, nanograms per semipermeable membrane device	85-68-7	Butyl benzyl phthalate	ng/SPMD
64967	Organics, Other	C8-Alkylphenol, water, recoverable, nanograms per semipermeable membrane device	 	 	ng/SPMD
64968	Organics, Pesticide	Carbaryl, water, recoverable, nanograms per semipermeable membrane device	63-25-2	Carbaryl	ng/SPMD
64969	Organics, Pesticide	Carbazole, water, recoverable, nanograms per semipermeable membrane device	86-74-8	Carbazole	ng/SPMD
64970	Organics, Pesticide	Carbofuran, water, recoverable, nanograms per semipermeable membrane device	1563-66-2	Carbofuran	ng/SPMD
64971	Organics, Pesticide	Chlorpyrifos, water, recoverable, nanograms per semipermeable membrane device	2921-88-2	Chlorpyrifos	ng/SPMD
64972	Organics, Other	Chrysene, water, recoverable, nanograms per semipermeable membrane device	218-01-9	Chrysene	ng/SPMD
64973	Organics, Pesticide	cis-Chlordane, water, recoverable, nanograms per semipermeable membrane device	5103-71-9	cis-Chlordane	ng/SPMD
64974	Organics, Pesticide	cis-Nonachlor, water, recoverable, nanograms per semipermeable membrane device	5103-73-1	cis-Nonachlor	ng/SPMD
64975	Organics, Pesticide	cis-Permethrin, water, recoverable, nanograms per semipermeable membrane device	61949-76-6	1RS cis-Permethrin	ng/SPMD
64976	Organics, Pesticide	Cyanazine, water, recoverable, nanograms per semipermeable membrane device	21725-46-2	Cyanazine	ng/SPMD
64977	Organics, Pesticide	DCPA, water, recoverable, nanograms per semipermeable membrane device	1861-32-1	Chlorthal-dimethyl	ng/SPMD
64978	Organics, Pesticide	delta-HCH, water, recoverable, nanograms per semipermeable membrane device	319-86-8	.delta.-Hexachlorocyclohexane	ng/SPMD
64979	Organics, Pesticide	Desulfinylfipronil, water, recoverable, nanograms per semipermeable membrane device	 	 	ng/SPMD
64980	Organics, Pesticide	Desulfinylfipronil amide, water, recoverable, nanograms per semipermeable membrane device	 	 	ng/SPMD
64981	Organics, Pesticide	Diazinon, water, recoverable, nanograms per semipermeable membrane device	333-41-5	Diazinon	ng/SPMD
64982	Organics, Other	Dibenzo[a,h]anthracene, water, recoverable, nanograms per semipermeable membrane device	53-70-3	Dibenz[a,h]anthracene	ng/SPMD
64983	Organics, Other	Dibenzothiophene, water, recoverable, nanograms per semipermeable membrane device	132-65-0	Dibenzothiophene	ng/SPMD
64984	Organics, Pesticide	Dieldrin, water, recoverable, nanograms per semipermeable membrane device	60-57-1	Dieldrin	ng/SPMD
64985	Organics, Other	Diethyl phthalate, water, recoverable, nanograms per semipermeable membrane device	84-66-2	Diethyl phthalate	ng/SPMD
64986	Organics, Other	Dimethyl phthalate, water, recoverable, nanograms per semipermeable membrane device	131-11-3	Dimethyl phthalate	ng/SPMD
64987	Organics, Other	Di-n-butyl phthalate, water, recoverable, nanograms per semipermeable membrane device	84-74-2	Dibutyl phthalate	ng/SPMD
64988	Organics, Other	Di-n-octyl phthalate, water, recoverable, nanograms per semipermeable membrane device	117-84-0	Di-n-octyl phthalate	ng/SPMD
64989	Organics, Pesticide	Disulfoton, water, recoverable, nanograms per semipermeable membrane device	298-04-4	Disulfoton	ng/SPMD
64990	Organics, Pesticide	Endrin, water, recoverable, nanograms per semipermeable membrane device	72-20-8	Endrin	ng/SPMD
64991	Organics, Pesticide	EPTC, water, recoverable, nanograms per semipermeable membrane device	759-94-4	S-Ethyl dipropylthiocarbamate	ng/SPMD
64992	Organics, Pesticide	Ethalfluralin, water, recoverable, nanograms per semipermeable membrane device	55283-68-6	Ethalfluralin	ng/SPMD
64993	Organics, Pesticide	Ethoprop, water, recoverable, nanograms per semipermeable membrane device	13194-48-4	Ethoprop	ng/SPMD
64994	Organics, Pesticide	Fipronil, water, recoverable, nanograms per semipermeable membrane device	120068-37-3	Fipronil	ng/SPMD
64995	Organics, Pesticide	Fipronil sulfide, water, recoverable, nanograms per semipermeable membrane device	120067-83-6	5-Amino-1-[2,6-dichloro-4-(trifluoromethyl)phenyl]-4-[(trifluoromethyl)thio]pyrazole-3-carbonitrile	ng/SPMD
64996	Organics, Pesticide	Fipronil sulfone, water, recoverable, nanograms per semipermeable membrane device	120068-36-2	 	ng/SPMD
64997	Organics, Other	Fluoranthene, water, recoverable, nanograms per semipermeable membrane device	206-44-0	Fluoranthene	ng/SPMD
64998	Organics, Other	Fluorene, water, recoverable, nanograms per semipermeable membrane device	86-73-7	Fluorene	ng/SPMD
64999	Organics, Pesticide	Fonofos, water, recoverable, nanograms per semipermeable membrane device	944-22-9	Fonofos	ng/SPMD
65000	Organics, Pesticide	Heptachlor, water, recoverable, nanograms per semipermeable membrane device	76-44-8	Heptachlor	ng/SPMD
65001	Organics, Pesticide	Heptachlor epoxide, water, recoverable, nanograms per semipermeable membrane device	1024-57-3	Heptachlor epoxide	ng/SPMD
65002	Organics, Pesticide	Hexachlorobenzene, water, recoverable, nanograms per semipermeable membrane device	118-74-1	Hexachlorobenzene	ng/SPMD
65003	Organics, Other	Hexachlorobutadiene, water, recoverable, nanograms per semipermeable membrane device	87-68-3	Hexachlorobutadiene	ng/SPMD
65004	Organics, Other	Hexachlorocyclopentadiene, water, recoverable, nanograms per semipermeable membrane device	77-47-4	Hexachlorocyclopentadiene	ng/SPMD
65005	Organics, Other	Hexachloroethane, water, recoverable, nanograms per semipermeable membrane device	67-72-1	Hexachloroethane	ng/SPMD
65006	Organics, Other	Indeno[1,2,3-cd]pyrene, water, recoverable, nanograms per semipermeable membrane device	193-39-5	Indeno[1,2,3-cd]pyrene	ng/SPMD
65007	Organics, Other	Isophorone, water, recoverable, nanograms per semipermeable membrane device	78-59-1	Isophorone	ng/SPMD
65008	Organics, Other	Isoquinoline, water, recoverable, nanograms per semipermeable membrane device	119-65-3	Isoquinoline	ng/SPMD
65009	Organics, Pesticide	Lindane, water, recoverable, nanograms per semipermeable membrane device	58-89-9	Lindane	ng/SPMD
65011	Organics, Pesticide	Linuron, water, recoverable, nanograms per semipermeable membrane device	330-55-2	Linuron	ng/SPMD
65012	Organics, Pesticide	Malathion, water, recoverable, nanograms per semipermeable membrane device	121-75-5	Malathion	ng/SPMD
65013	Organics, Pesticide	Metolachlor, water, recoverable, nanograms per semipermeable membrane device	51218-45-2	Metolachlor	ng/SPMD
65014	Organics, Pesticide	Metribuzin, water, recoverable, nanograms per semipermeable membrane device	21087-64-9	Metribuzin	ng/SPMD
65015	Organics, Pesticide	Mirex, water, recoverable, nanograms per semipermeable membrane device	2385-85-5	Mirex	ng/SPMD
65016	Organics, Pesticide	Molinate, water, recoverable, nanograms per semipermeable membrane device	2212-67-1	Molinate	ng/SPMD
65017	Organics, Other	Naphthalene, water, recoverable, nanograms per semipermeable membrane device	91-20-3	Naphthalene	ng/SPMD
65018	Organics, Pesticide	Napropamide, water, recoverable, nanograms per semipermeable membrane device	15299-99-7	Napropamide	ng/SPMD
65019	Organics, Other	Nitrobenzene, water, recoverable, nanograms per semipermeable membrane device	98-95-3	Nitrobenzene	ng/SPMD
65020	Organics, Other	N-Nitrosodi-n-propylamine, water, recoverable, nanograms per semipermeable membrane device	621-64-7	N-Nitrosodi-n-propylamine	ng/SPMD
65021	Organics, Other	N-Nitrosodiphenylamine, water, recoverable, nanograms per semipermeable membrane device	86-30-6	N-Nitrosodiphenylamine	ng/SPMD
65022	Organics, Pesticide	o,p'-DDD, water, recoverable, nanograms per semipermeable membrane device	53-19-0	o,p'-DDD	ng/SPMD
65023	Organics, Pesticide	o,p'-DDE, water, recoverable, nanograms per semipermeable membrane device	3424-82-6	o,p'-DDE	ng/SPMD
65024	Organics, Pesticide	o,p'-DDT, water, recoverable, nanograms per semipermeable membrane device	789-02-6	o,p'-DDT	ng/SPMD
65025	Organics, Pesticide	o,p'-Methoxychlor, water, recoverable, nanograms per semipermeable membrane device	30667-99-3	Benzene, 1-methoxy-2-[2,2,2-trichloro-1-(4-methoxyphenyl)ethyl]-	ng/SPMD
65026	Organics, Pesticide	Oxychlordane, water, recoverable, nanograms per semipermeable membrane device	27304-13-8	Oxychlordane	ng/SPMD
65027	Organics, Pesticide	p,p'-DDD, water, recoverable, nanograms per semipermeable membrane device	72-54-8	p,p'-DDD	ng/SPMD
65028	Organics, Pesticide	p,p'-DDE, water, recoverable, nanograms per semipermeable membrane device	72-55-9	p,p'-DDE	ng/SPMD
65029	Organics, Pesticide	p,p'-DDT, water, recoverable, nanograms per semipermeable membrane device	50-29-3	p,p'-DDT	ng/SPMD
65030	Organics, Pesticide	p,p'-Methoxychlor, water, recoverable, nanograms per semipermeable membrane device	72-43-5	Methoxychlor	ng/SPMD
65031	Organics, Pesticide	Parathion, water, recoverable, nanograms per semipermeable membrane device	56-38-2	Parathion	ng/SPMD
65032	Organics, Pesticide	Methyl parathion, water, recoverable, nanograms per semipermeable membrane device	298-00-0	Methyl parathion	ng/SPMD
65033	Organics, Pesticide	p-Cresol, water, recoverable, nanograms per semipermeable membrane device	106-44-5	p-Cresol	ng/SPMD
65034	Organics, Pesticide	Pebulate, water, recoverable, nanograms per semipermeable membrane device	1114-71-2	Pebulate	ng/SPMD
65035	Organics, Pesticide	Pendimethalin, water, recoverable, nanograms per semipermeable membrane device	40487-42-1	Pendimethalin	ng/SPMD
65036	Organics, Pesticide	Pentachloroanisole, water, recoverable, nanograms per semipermeable membrane device	1825-21-4	Benzene, pentachloromethoxy-	ng/SPMD
65037	Organics, Pesticide	Pentachloronitrobenzene, water, recoverable, nanograms per semipermeable membrane device	82-68-8	Pentachloronitrobenzene	ng/SPMD
65038	Organics, Pesticide	Pentachlorophenol, water, recoverable, nanograms per semipermeable membrane device	87-86-5	Pentachlorophenol	ng/SPMD
65039	Organics, Other	Phenanthrene, water, recoverable, nanograms per semipermeable membrane device	85-01-8	Phenanthrene	ng/SPMD
65040	Organics, Other	Phenanthridine, water, recoverable, nanograms per semipermeable membrane device	229-87-8	Phenanthridine	ng/SPMD
65041	Organics, Other	Phenol, water, recoverable, nanograms per semipermeable membrane device	108-95-2	Phenol	ng/SPMD
65042	Organics, Pesticide	Phorate, water, recoverable, nanograms per semipermeable membrane device	298-02-2	Phorate	ng/SPMD
65043	Organics, PCBs	PCBs, water, recoverable, nanograms per semipermeable membrane device	1336-36-3	Polychlorinated biphenyls	ng/SPMD
65044	Organics, Pesticide	Prometon, water, recoverable, nanograms per semipermeable membrane device	1610-18-0	Prometon	ng/SPMD
65045	Organics, Pesticide	Propachlor, water, recoverable, nanograms per semipermeable membrane device	1918-16-7	Propachlor	ng/SPMD
65046	Organics, Pesticide	Propanil, water, recoverable, nanograms per semipermeable membrane device	709-98-8	Propanil	ng/SPMD
65047	Organics, Pesticide	Propargite, water, recoverable, nanograms per semipermeable membrane device	2312-35-8	Propargite	ng/SPMD
65048	Organics, Pesticide	Propyzamide, water, recoverable, nanograms per semipermeable membrane device	23950-58-5	Pronamide	ng/SPMD
65049	Organics, Other	Pyrene, water, recoverable, nanograms per semipermeable membrane device	129-00-0	Pyrene	ng/SPMD
65050	Organics, Other	Quinoline, water, recoverable, nanograms per semipermeable membrane device	91-22-5	Quinoline	ng/SPMD
65051	Organics, Pesticide	Simazine, water, recoverable, nanograms per semipermeable membrane device	122-34-9	Simazine	ng/SPMD
65052	Organics, Pesticide	Tebuthiuron, water, recoverable, nanograms per semipermeable membrane device	34014-18-1	Tebuthiuron	ng/SPMD
65053	Organics, Pesticide	Terbacil, water, recoverable, nanograms per semipermeable membrane device	5902-51-2	Terbacil	ng/SPMD
65054	Organics, Pesticide	Terbufos, water, recoverable, nanograms per semipermeable membrane device	13071-79-9	Terbufos	ng/SPMD
65055	Organics, Pesticide	Thiobencarb, water, recoverable, nanograms per semipermeable membrane device	28249-77-6	Thiobencarb	ng/SPMD
65056	Organics, Pesticide	Toxaphene, water, recoverable, nanograms per semipermeable membrane device	8001-35-2	Toxaphene	ng/SPMD
65057	Organics, Pesticide	trans-Chlordane, water, recoverable, nanograms per semipermeable membrane device	5103-74-2	trans-Chlordane	ng/SPMD
65058	Organics, Pesticide	trans-Nonachlor, water, recoverable, nanograms per semipermeable membrane device	39765-80-5	trans-Nonachlor	ng/SPMD
65059	Organics, Pesticide	Triallate, water, recoverable, nanograms per semipermeable membrane device	2303-17-5	Triallate	ng/SPMD
65060	Organics, Pesticide	Trifluralin, water, recoverable, nanograms per semipermeable membrane device	1582-09-8	Trifluralin	ng/SPMD
65061	Organics, Other	1-Nitroso-3,5-dinitro-1,3,5-triazacyclohexane, water, unfiltered, recoverable, micrograms per liter	5755-27-1	 	ug/l
65062	Organics, Other	1,3-Dinitroso-5-nitro-1,3,5-triazacyclohexane, water, unfiltered, recoverable, micrograms per liter	80251-29-2	 	ug/l
65063	Organics, Other	1,3,5-Trinitroso-1,3,5-triazacyclohexane, water, unfiltered, recoverable, micrograms per liter	13980-04-6	 	ug/l
65064	Organics, Pesticide	Alachlor, water, filtered, recoverable, nanograms per liter	15972-60-8	Alachlor	ng/l
65065	Organics, Pesticide	Atrazine, water, filtered, recoverable, nanograms per liter	1912-24-9	Atrazine	ng/l
65066	Organics, Pesticide	Azinphos-methyl, water, filtered, recoverable, nanograms per liter	86-50-0	Azinphos-methyl	ng/l
65067	Organics, Pesticide	Bifenthrin, water, filtered, recoverable, nanograms per liter	82657-04-3	Bifenthrin	ng/l
65068	Organics, Pesticide	Butylate, water, filtered, recoverable, nanograms per liter	2008-41-5	Butylate	ng/l
65069	Organics, Pesticide	Carbaryl, water, filtered, recoverable, nanograms per liter	63-25-2	Carbaryl	ng/l
65070	Organics, Pesticide	Carbofuran, water, filtered, recoverable, nanograms per liter	1563-66-2	Carbofuran	ng/l
65071	Organics, Pesticide	Chlorothalonil, water, filtered, recoverable, nanograms per liter	1897-45-6	Chlorothalonil	ng/l
65072	Organics, Pesticide	Chlorpyrifos, water, filtered, recoverable, nanograms per liter	2921-88-2	Chlorpyrifos	ng/l
65073	Organics, Pesticide	Cycloate, water, filtered, recoverable, nanograms per liter	1134-23-2	Cycloate	ng/l
65074	Organics, Pesticide	Cyfluthrin, water, filtered, recoverable, nanograms per liter	68359-37-5	Cyfluthrin	ng/l
65075	Organics, Pesticide	Cypermethrin, water, filtered, recoverable, nanograms per liter	52315-07-8	Beta Cypermethrin	ng/l
65076	Organics, Pesticide	DCPA, water, filtered, recoverable, nanograms per liter	1861-32-1	Chlorthal-dimethyl	ng/l
65077	Organics, Pesticide	Deltamethrin, water, filtered, recoverable, nanograms per liter	52918-63-5	Deltamethrin	ng/l
65078	Organics, Pesticide	Diazinon, water, filtered, recoverable, nanograms per liter	333-41-5	Diazinon	ng/l
65079	Organics, Pesticide	Diethatyl-ethyl, water, filtered, recoverable, nanograms per liter	38727-55-8	Diethatyl ethyl	ng/l
65080	Organics, Pesticide	EPTC, water, filtered, recoverable, nanograms per liter	759-94-4	S-Ethyl dipropylthiocarbamate	ng/l
65081	Organics, Pesticide	Esfenvalerate, water, filtered, recoverable, nanograms per liter	66230-04-4	Esfenvalerate	ng/l
65082	Organics, Pesticide	Ethalfluralin, water, filtered, recoverable, nanograms per liter	55283-68-6	Ethalfluralin	ng/l
65083	Organics, Pesticide	Fenpropathrin, water, filtered, recoverable, nanograms per liter	39515-41-8	Fenpropathrin	ng/l
65084	Organics, Pesticide	Fonofos, water, filtered, recoverable, nanograms per liter	944-22-9	Fonofos	ng/l
65085	Organics, Pesticide	Hexazinone, water, filtered, recoverable, nanograms per liter	51235-04-2	Hexazinone	ng/l
65086	Organics, Pesticide	lambda-Cyhalothrin, water, filtered, recoverable, nanograms per liter	91465-08-6	.lambda.-Cyhalothrin	ng/l
65087	Organics, Pesticide	Malathion, water, filtered, recoverable, nanograms per liter	121-75-5	Malathion	ng/l
65088	Organics, Pesticide	Methidathion, water, filtered, recoverable, nanograms per liter	950-37-8	Methidathion	ng/l
65089	Organics, Pesticide	Methyl parathion, water, filtered, recoverable, nanograms per liter	298-00-0	Methyl parathion	ng/l
65090	Organics, Pesticide	Metolachlor, water, filtered, recoverable, nanograms per liter	51218-45-2	Metolachlor	ng/l
65091	Organics, Pesticide	Molinate, water, filtered, recoverable, nanograms per liter	2212-67-1	Molinate	ng/l
65092	Organics, Pesticide	Napropamide, water, filtered, recoverable, nanograms per liter	15299-99-7	Napropamide	ng/l
65093	Organics, Pesticide	Oxyfluorfen, water, filtered, recoverable, nanograms per liter	42874-03-3	Oxyfluorfen	ng/l
65094	Organics, Pesticide	p,p'-DDD, water, filtered, recoverable, nanograms per liter	72-54-8	p,p'-DDD	ng/l
65095	Organics, Pesticide	p,p'-DDE, water, filtered, recoverable, nanograms per liter	72-55-9	p,p'-DDE	ng/l
65096	Organics, Pesticide	p,p'-DDT, water, filtered, recoverable, nanograms per liter	50-29-3	p,p'-DDT	ng/l
65097	Organics, Pesticide	Pebulate, water, filtered, recoverable, nanograms per liter	1114-71-2	Pebulate	ng/l
65098	Organics, Pesticide	Pendimethalin, water, filtered, recoverable, nanograms per liter	40487-42-1	Pendimethalin	ng/l
65099	Organics, Pesticide	Permethrin, water, filtered, recoverable, nanograms per liter	52645-53-1	Permethrin	ng/l
65100	Organics, Pesticide	Phenothrin, water, filtered, recoverable, nanograms per liter	26002-80-2	Phenothrin	ng/l
65101	Organics, Pesticide	Phosmet, water, filtered, recoverable, nanograms per liter	732-11-6	Phosmet	ng/l
65102	Organics, Pesticide	Piperonyl butoxide, water, filtered, recoverable, nanograms per liter	51-03-6	Piperonyl butoxide	ng/l
65103	Organics, Pesticide	Prometryn, water, filtered, recoverable, nanograms per liter	7287-19-6	Prometryn	ng/l
65104	Organics, Pesticide	Resmethrin, water, filtered, recoverable, nanograms per liter	10453-86-8	Resmethrin	ng/l
65105	Organics, Pesticide	Simazine, water, filtered, recoverable, nanograms per liter	122-34-9	Simazine	ng/l
65106	Organics, Pesticide	tau-Fluvalinate, water, filtered, recoverable, nanograms per liter	102851-06-9	Tau-fluvalinate	ng/l
65107	Organics, Pesticide	Thiobencarb, water, filtered, recoverable, nanograms per liter	28249-77-6	Thiobencarb	ng/l
65108	Organics, Pesticide	Trifluralin, water, filtered, recoverable, nanograms per liter	1582-09-8	Trifluralin	ng/l
